# orgami's catalogue of third parties, and the committed evidence that proves an
# organization uses one. Nothing here is fetched, priced or authenticated: this
# file only knows what a vendor looks like when it appears in someone's code.
#
# Tab separated, one row per vendor:
#
#   id        the node id in the graph, as `vendor:<id>`
#   name      what a person calls it
#   category  the job it does. Two vendors sharing a category are two vendors
#             doing the same job, which is the question `orgami advise` asks —
#             so the value is load-bearing. Reuse an existing word rather than
#             coining a synonym, or the overlap goes unseen. Whether two vendors
#             sharing a category is worth *proposing* something about is advice
#             policy and lives in lib/advise.jq, not here: hosting and database
#             hold vendors that coexist on purpose, error-tracking and workspace
#             hold substitutes. That judgement changes; what a vendor looks like
#             in someone's code does not.
#   signals   a `|`-separated list of `<kind>:<regex>`. A `|` only starts a new
#             signal when the text after it is one of the known kinds followed
#             by a colon, so a regex is free to use alternation of its own. The
#             list of known kinds lives in VENDOR_SIGNAL_KINDS in lib/vendors.sh
#             and nowhere else — a kind that is not in it is not rejected, it is
#             swallowed into the regex before it, and the vendor quietly stops
#             matching.
#   portal    where a human goes to see what it costs. Never opened by orgami.
#   flags     optional, comma separated, and absent from most rows — a row with
#             nothing to say here simply ends after `portal` rather than
#             carrying a trailing tab nobody can see. One flag is defined:
#
#               no-sdk  this vendor is normally wired in through a webhook URL,
#                       a script tag, or a variable the platform injects into
#                       the build itself. There is no package to install, so an
#                       environment variable that no dependency manifest backs
#                       up is the finished integration rather than an abandoned
#                       one, and `ghost-env-var` in lib/advise.jq skips the
#                       vendor entirely. This is not a flag for a vendor that
#                       has a real SDK people install and *also* happens to
#                       offer a webhook: Sentry and Stripe do not get it. Slack
#                       and Google Analytics do, because a webhook URL and a
#                       script tag are how they are actually integrated.
#
# The kinds, and what a fact of each one is:
#
#   pkg     a name in a dependency manifest        \
#   env     a variable name in a committed .env     |  read out of committed
#   host    a hostname in a literal URL             |  files by lib/vendors.sh
#   tf      a terraform provider                    |  during `orgami scan`
#   action  a workflow's `uses:` line              /
#
#   mx      a mail exchanger for the apex          \
#   spf     an SPF `include:` or `redirect=` target |  read out of public DNS
#   txt     a TXT record on the apex                |  by lib/dns.sh during
#   cname   a CNAME target on a conventional name   |  `orgami dns`
#   ns      a nameserver for the apex               |
#   dmarc   a `rua=`/`ruf=` destination in _dmarc  /
#
# The two sets never mix. A signal only matches a fact of its own kind, so a
# `host:` regex can never be satisfied by a CNAME, and code and DNS stay two
# independent pieces of evidence for the same vendor rather than one restated.
#
# Code names what an organization *calls*. DNS names what it has an *account*
# with — a verification token is a vendor stating that this organization proved
# it owns this domain, which is the closest thing to a receipt anything here can
# see. That is why Google Workspace, Microsoft 365, Greenhouse and DocuSign have
# rows at all: no repository will ever mention them.
#
# The regex is matched against the whole fact — an unanchored one is a substring
# test. `pkg:^stripe$` is the package called exactly `stripe`; `env:STRIPE_` is
# any variable with STRIPE_ in the name, which is how NEXT_PUBLIC_STRIPE_KEY and
# VITE_STRIPE_KEY are caught without a row each.
#
# Why the host signals still work. `lib/scan.sh` carries a NOISE_DOMAINS list
# that keeps registries and documentation domains — sentry.io among them — out
# of the `host:` nodes, because a link to a vendor's docs is not a deployment.
# That filter is deliberate and stays. `lib/vendors.sh` never applies it: it
# reads the URLs itself and matches them against this file, and what it emits is
# a `vendor:` node, not a `host:` one. So sentry.io is still suppressed as a
# host and still detected as a vendor, and the two lists never have to agree.
#
# Signals are evidence of use, not of a paid plan. Meilisearch, Grafana and
# Elastic all run self-hosted, and a `pkg` match cannot tell the difference —
# the graph says the code reaches for this vendor, and stops there.
#
# id	name	category	signals	portal	flags
stripe	Stripe	payments	pkg:^stripe$|pkg:^@stripe/|pkg:^stripe/stripe-php$|pkg:stripe/stripe-go|env:STRIPE_|host:(^|\.)stripe\.com$|txt:^stripe-verification=|cname:(^|\.)stripecdn\.com$	https://dashboard.stripe.com/settings/billing
paddle	Paddle	payments	pkg:^@paddle/|env:PADDLE_|host:(^|\.)paddle\.com$	https://vendors.paddle.com/subscription
sentry	Sentry	error-tracking	pkg:^@sentry/|pkg:^sentry-sdk$|pkg:^sentry-(ruby|rails)$|pkg:getsentry/sentry-go|pkg:^sentry/sentry$|env:SENTRY_|host:(^|\.)sentry\.io$|action:^getsentry/	https://sentry.io/settings/billing/
rollbar	Rollbar	error-tracking	pkg:^rollbar$|pkg:^@rollbar/|env:ROLLBAR_|host:(^|\.)rollbar\.com$	https://rollbar.com/settings/billing/
bugsnag	Bugsnag	error-tracking	pkg:^@bugsnag/|pkg:^bugsnag$|pkg:^bugsnag-python$|env:BUGSNAG_|host:(^|\.)bugsnag\.com$	https://app.bugsnag.com/settings/billing
datadog	Datadog	observability	pkg:^dd-trace$|pkg:^@datadog/|pkg:^ddtrace$|pkg:^datadog$|pkg:DataDog/dd-trace-go|env:^DD_[A-Z]|env:DATADOG_|host:(^|\.)datadoghq\.(com|eu)$|tf:^datadog$|action:^DataDog/	https://app.datadoghq.com/billing/usage
newrelic	New Relic	observability	pkg:^newrelic$|pkg:^@newrelic/|pkg:^newrelic-lambda$|env:NEW_RELIC_|host:(^|\.)newrelic\.com$|host:(^|\.)nr-data\.net$|tf:^newrelic$	https://one.newrelic.com/admin-portal/billing/usage-ui
betterstack	Better Stack	observability	pkg:^@logtail/|pkg:^logtail(-python)?$|env:LOGTAIL_|env:BETTER_?STACK_|host:(^|\.)betterstack\.com$|host:(^|\.)logtail\.com$|host:(^|\.)betteruptime\.com$|cname:(^|\.)betteruptime\.com$|cname:(^|\.)status\.betterstack\.com$	https://telemetry.betterstack.com/settings/billing
honeycomb	Honeycomb	observability	pkg:^@honeycombio/|pkg:^libhoney(-beeline)?$|pkg:^honeycomb-beeline$|env:HONEYCOMB_|host:(^|\.)honeycomb\.io$|tf:^honeycombio$	https://ui.honeycomb.io/account
grafana	Grafana Cloud	observability	pkg:^@grafana/|env:GRAFANA_CLOUD_|env:^GF_|host:(^|\.)grafana\.net$|host:grafana\.com$|tf:^grafana$	https://grafana.com/orgs
pagerduty	PagerDuty	incident-response	pkg:^@pagerduty/|pkg:^pdpyras$|env:PAGERDUTY_|env:^PD_(API|ROUTING)|host:(^|\.)pagerduty\.com$|tf:^pagerduty$	https://support.pagerduty.com/main/docs/billing	no-sdk
twilio	Twilio	sms	pkg:^twilio$|pkg:^@twilio/|pkg:^twilio/sdk$|env:TWILIO_|host:(^|\.)twilio\.com$	https://console.twilio.com/us1/billing/manage-billing/billing-overview
sendgrid	SendGrid	email	pkg:^@sendgrid/|pkg:^sendgrid$|env:SENDGRID_|host:(^|\.)sendgrid\.(com|net)$|spf:(^|\.)sendgrid\.net$|cname:(^|\.)sendgrid\.net$	https://app.sendgrid.com/account/billing
postmark	Postmark	email	pkg:^postmark(-js)?$|pkg:^postmarker$|env:POSTMARK_|host:(^|\.)postmarkapp\.com$|spf:(^|\.)mtasv\.net$|dmarc:(^|\.)postmarkapp\.com$|cname:(^|\.)mtasv\.net$	https://account.postmarkapp.com/subscription
mailgun	Mailgun	email	pkg:^mailgun(-js|\.js)?$|pkg:^@mailgun/|env:MAILGUN_|host:(^|\.)mailgun\.(com|net|org)$|spf:(^|\.)mailgun\.org$|cname:(^|\.)mailgun\.org$	https://app.mailgun.com/settings/billing
resend	Resend	email	pkg:^resend$|pkg:^@react-email/|env:RESEND_|host:(^|\.)resend\.com$	https://resend.com/settings/billing
loops	Loops	email	pkg:^loops$|env:^LOOPS_|host:(^|\.)loops\.so$	https://app.loops.so/settings?page=billing
auth0	Auth0	auth	pkg:^auth0$|pkg:^@auth0/|env:AUTH0_|host:(^|\.)auth0\.com$|tf:^auth0$	https://manage.auth0.com/dashboard/billing
clerk	Clerk	auth	pkg:^@clerk/|env:CLERK_|host:(^|\.)clerk\.(com|dev)$|host:clerk\.accounts\.dev$	https://dashboard.clerk.com
workos	WorkOS	auth	pkg:^@workos-inc/|pkg:^workos$|env:WORKOS_|host:(^|\.)workos\.com$	https://dashboard.workos.com/billing
okta	Okta	auth	pkg:^@okta/|pkg:^okta-sdk-nodejs$|env:OKTA_|host:(^|\.)okta(preview)?\.com$|tf:^okta$	https://www.okta.com/pricing/
supabase	Supabase	database	pkg:^@supabase/|pkg:^supabase$|env:SUPABASE_|host:(^|\.)supabase\.(co|com|in)$	https://supabase.com/dashboard/org/_/billing
firebase	Firebase	database	pkg:^firebase$|pkg:^firebase-admin$|pkg:^firebase-functions$|pkg:^@react-native-firebase/|env:FIREBASE_|host:(^|\.)firebaseio\.com$|host:(^|\.)firebaseapp\.com$|host:firebase\.googleapis\.com$	https://console.firebase.google.com/project/_/usage
planetscale	PlanetScale	database	pkg:^@planetscale/|env:PLANETSCALE_|env:^PSCALE_|host:(^|\.)psdb\.cloud$|host:(^|\.)planetscale\.com$|tf:^planetscale$	https://app.planetscale.com/_/settings/billing
neon	Neon	database	pkg:^@neondatabase/|env:NEON_|host:(^|\.)neon\.tech$	https://console.neon.tech/app/billing
mongodb-atlas	MongoDB Atlas	database	env:MONGODB_ATLAS_|env:^ATLAS_(URI|PUBLIC_KEY|PRIVATE_KEY)|host:(^|\.)mongodb\.net$|host:cloud\.mongodb\.com$|tf:^mongodbatlas$	https://cloud.mongodb.com/v2#/billing	no-sdk
redis-cloud	Redis Cloud	database	env:REDIS_?CLOUD_|host:(^|\.)redislabs\.com$|host:(^|\.)redis-cloud\.com$|tf:^rediscloud$	https://app.redislabs.com/#/billing	no-sdk
upstash	Upstash	database	pkg:^@upstash/|env:UPSTASH_|host:(^|\.)upstash\.io$	https://console.upstash.com/account/billing
algolia	Algolia	search	pkg:^algoliasearch$|pkg:^@algolia/|pkg:^react-instantsearch|env:ALGOLIA_|host:(^|\.)algolia\.(net|io)$|host:(^|\.)algolianet\.com$	https://dashboard.algolia.com/account/billing
elastic-cloud	Elastic Cloud	search	env:ELASTIC_CLOUD_ID|env:ELASTICSEARCH_CLOUD|host:(^|\.)elastic-cloud\.com$|host:(^|\.)found\.io$|tf:^ec$	https://cloud.elastic.co/billing/overview	no-sdk
meilisearch	Meilisearch	search	pkg:^meilisearch$|pkg:^@meilisearch/|env:MEILI(SEARCH)?_|host:(^|\.)meilisearch\.(com|io)$	https://cloud.meilisearch.com/billing
typesense	Typesense	search	pkg:^typesense$|env:TYPESENSE_|host:(^|\.)typesense\.net$	https://cloud.typesense.org/clusters
pinecone	Pinecone	vector-db	pkg:^@pinecone-database/|pkg:^pinecone(-client)?$|env:PINECONE_|host:(^|\.)pinecone\.io$	https://app.pinecone.io/organizations/-/settings/billing
openai	OpenAI	ai	pkg:^openai$|pkg:^@ai-sdk/openai$|pkg:^llm-openai$|env:OPENAI_|host:(^|\.)openai\.com$|host:(^|\.)openai\.azure\.com$|txt:^openai-domain-verification=	https://platform.openai.com/settings/organization/billing/overview
anthropic	Anthropic	ai	pkg:^@anthropic-ai/|pkg:^anthropic$|pkg:^@ai-sdk/anthropic$|env:ANTHROPIC_|host:(^|\.)anthropic\.com$	https://console.anthropic.com/settings/billing
